#
PriLevel,SecLevel,Trigger,Sync,RefTime,MaxTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms,ms
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
